Time(s), Force_Z
0.8176, 0.00114198
0.8176, -0.00374000
0.8176, 0.00251607
0.8176, -0.00005321
0.8176, -0.00005661
0.8188, 0.00258641
0.8188, 0.00010212
0.8188, -0.00117790
0.8188, -0.00002577
0.8203, -0.00000932
0.8203, 0.00261081
0.8203, -0.00012075
0.8203, 0.00132806
0.8328, -0.00122188
0.8328, 0.00116472
0.8338, 0.00012584
0.8338, 0.00121828
0.8362, -0.00124462
0.8362, 0.00256782
0.8362, 0.00252906
0.8362, 0.00361439
0.8374, 0.00122357
0.8374, 0.00255641
0.8374, 0.00133327
0.8374, -0.00127891
0.8488, -0.00002676
0.8488, 0.00119895
0.8503, 0.00122440
0.8503, 0.00253964
0.8503, 0.00131665
0.8503, 0.00125780
0.8503, 0.00246598
0.8519, 0.00121382
0.8525, -0.00005744
0.8525, 0.00246333
0.8525, -0.00117344
0.8525, 0.00251607
0.8539, 0.00002151
0.8549, -0.00005661
0.8549, 0.00001788
0.8549, -0.00001883
0.8549, 0.00255278
0.8647, -0.00238964
0.8647, 0.00129376
